Title,Author,Category,Sub Category
Mindfulness in Plain English,Bhante Gunaratana,Personal Exploration & Skills,
Moneyball,Michael Lewis,Sports,
Moneymaker: How And Amateur Poker Player Turned $40 Into $2.5M,Chris Moneymaker,Entertainment,
My Life,Bill Clinton,History & Politics,Memoir
Nine Stories,J.D. Salinger,Fiction,
No Man Knows My History: The Life of Joseph Smith,Fawn M. Brodie,History & Politics,Profile
Not Accountable: Rethinking the Constitutionality of Public Employee Unions,Philip K. Howard,History & Politics,
Nuclear War: A Scenario,Nuclear War: A Scenario,History & Politics,
Objective Knowledge: An Evolutionary Approach,Karl Popper,Science,Philosophy
On Liberty,John Stuart Mill,Economics,
On the Edge: The Art of Risking Everything,Nate Silver,Personal Finance & Investing,
One Up On Wall Street,Peter Lynch,Personal Finance & Investing,
Only the Paranoid Survive: How to Exploit the Crisis Points That Challenge Every Company,Andrew S. Grove,Business,Memoir
Out of Mao's Shadow,Philip P. Pan,History & Politics,
Outliers,Malcolm Gladwell,Science,
Outlive: The Science and Art of Longevity,Peter Attia,Science,
Pay for Results: Aligning Executive Compensation with Business Performance,n/a,Business,
Pay Without Performance: The Unfulfilled Promise of Executive Compensation,"Lucian Bebchuk, Jesse Fried",Business,
Pay: Why People Earn What They Earn And What You Can Do Now To Make More,Kevin F. Hallock,Business,
Playing For Keeps,David Halberstam,Sports,Profile
Poor Charlie’s Almanack: The Essential Wit and Wisdom of Charles T. Munger,Charles T. Munger,Personal Exploration & Skills,
Powerful: Building a Culture of Freedom and Responsibility,Patty McCord,Business,Memoir
Powerhouse: The Untold Story of Hollywood's Creative Artists Agency,James Andrew Miller,Entertainment,Oral History
Predictably Irrational: The Hidden Forces That Share Our Decisions,Dan Ariely,Science,Psychology
Pride and Prejudice,Jane Austin,Fiction,
Principles,Ray Dalio,Business,Memoir
Principles for Dealing with the Changing World Order,Ray Dalio,Business,Economics
Principles for Navigating Big Debt  Crises,Ray Dalio,Business,Economics
Principles of Corporate Renewal,Harlan D. Platt,Business,
Product Leadership,Richard Banfield,Business,
Pursing The Competitive Edge,"Robert Hayes, Gary Pisano, David Upton, Steven Wheelwright",Business,
Read Write Own,Chris Dixon,Business,
Reality Is Not What It Seems: The Journey to Quantum Gravity,Carlo Rovelli ,Science,Physics
Reminiscences of a Stock Operator,Edwin Lefevre,Personal Finance & Investing,Profile
Return to the Little Kingdom,Michael Moritz,Business,Profile
Same as Ever: A Guide to What Never Changes ,Morgan Housel,Personal Finance & Investing,
San Fransicko: Why Progressives Ruin Cities,Michael Shellenberger,History & Politics,
Sapiens,Yuval Noah Harari,History & Politics,
Scorecasting: The Hidden Influences Behind How Sports Are Played And Games Are Won,"Tobias J. Moskowitz, L. Jon Wetheim",Sports,
"Seth Klarman: Margin of Safety, Master of Value",Katrine Koss,Personal Finance & Investing,Profile
